province,name,age,circum,height,latlong,details
ราชบุรี,30. อิน จันวัดหลวง,260- 360 ปี,12.36 เมตร,30 เมตร,"13.702006, 99.911763","ในบริเวณวัดหลวง ตำบลวังเย็น อำเภอบางแพ จังหวัดราชบุรี มีต้นจันโบราณ ๒ ต้น อายุราว ๒๖๐ - ๓๖๐ ปี เส้นรอบวง ๑๒.๓๖ เมตร สูง ๓๐ เมตร ปลูกไว้คู่กันทางด้านเหนือและใต้ของพระอุโบสถ ต้นด้านทิศเหนือ มีขนาด ๑๒.๓๖ เมตร ส่วนต้นด้านทิศใต้มีขนาด ๑๐.๕๐ เมตร 
 จากประวัติวัด ระบุว่า วัดหลวง เป็นวัดโบราณ สร้างในราวสมัยกรุงศรีอยุธยา ไม่ปรากฏนามผู้สร้าง และ พ.ศ. ที่สร้าง ไม่มีหลักฐานที่เป็นลายลักษณ์อักษรอื่น นอกจากอักขระขอมมอญ ที่จารึกไว้บนแผ่นเสมาด้านหน้าอุโบสถราวพุทธศตวรรษที่ ๒๒ – ๒๓   ภายในวัดเป็นสถานที่ร่มรื่นด้วยต้นไม้ใหญ่ โดยเฉพาะ ต้นจันที่ใหญ่ที่สุดจำนวน ๒ ต้นที่ปลูกไว้คู่กัน สันนิษฐานว่าปลูกตอนสร้างอุโบสถครั้งแรก เก่าแก่นับร้อยปี  ปัจจุบัน ต้นจันทั้งคู่ อยู่ในความดูแลรักษาของวัด  เป็นที่ร่มรื่นตาและร่มรื่นใจแก่ผู้พบเห็น
"
ลพบุรี,31. จันหลายแผ่นดิน,340 ปี,7 เมตร,20 เมตร,"14.8003361, 100.6101583","ต้นจันต้นนี้ยืนต้นอยู่หน้าพระที่นั่งจันทรพิศาล พระนารายณ์ราชนิเวศน์  มีอายุ ๓๔๐ ปี ลำต้นขนาด ๔ คนโอบ เส้นรอบวง ๗ เมตร สูง ๒๐ เมตร แตกกิ่งใบเขียวขจีเป็นพุ่มสวยสมบูรณ์ ทำให้ภูมิทัศน์ดูร่มรื่นงดงาม สมเป็นต้นไม้คู่พระราชวังโบราณ 
     ข้อมูลจากพิพิธภัณฑสถานแห่งชาติ สมเด็จพระนารายณ์ จังหวัดลพบุรี ระบุว่า  ต้นจัน ขึ้นโดดเด่นอยู่หน้าพระที่นั่งจันทรพิศาล พระนารายณ์ราชนิเวศน์ ซึ่งเป็นพระราชวังที่สมเด็จพระนารายณ์มหาราช ทรงพระกรุณาโปรดเกล้าฯ ให้สร้างขึ้นเมื่อ พ.ศ. ๒๑๐๙ เดิมมี ๒ ต้น  แต่ปัจจุบันเหลือเพีบง ๑ ต้น จึงถือได้ว่าเป็นต้นจันหลายแผ่นดิน
 ปัจจุบัน อยู่ในความดูแลของพิพิธภัณฑสถานแห่งชาติ สมเด็จพระนารายณ์ จังหวัดลพบุรี และเป็นต้นไม้สำหรับการเรียนรู้สำหรับคนรุ่นหลัง
"
เชียงใหม่,32. จามจุรียักษ์,ไม่ระบุ,9 เมตร,19 เมตร,"18.780739, 99.009589","สโมสรยิมคานา ซึ่งตั้งอยู่ที่ตำบลวัดเกตุ อำเภอเมือง จังหวัดเชียงใหม่ เป็นสโมสรสนามกอล์ฟที่เก่าแก่ที่สุดในประเทศไทย  บริเวณหน้าสโมสรมีต้นจามจุรีต้นหนึ่ง ยืนต้นมายาวนาน  มีขนาดเส้นรอบวง ๙ เมตรความสูง ๑๙ เมตร  มีลักษณะลำต้นแผ่ขยายแตกกิ่งก้านสาขาไปโดยรอบ งามตระการตา ได้รับรางวัลจากการประกวดต้นไม้ใหญ่จากเทศบาลนครเชียงใหม่ เมื่อ พ.ศ.๒๕๔๘ ด้วย
 จามจุรีนี้เติบโตมาก่อนการก่อตั้งสโมสรยิมคานา เชียงใหม่ ซึ่งก่อตั้งขึ้นโดยกลุ่มข้าราชการอังกฤษที่มาทำสัมปทานป่าไม้ในเมืองไทย เมื่อวันที่ ๖ เมษายน ๒๔๔๑ ในรัชสมัยของพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว รัชกาลที่ ๕  และผู้บริหารสโมสรได้ดูแลรักษาต้นจามจุรีต้นนี้เป็นอย่างดี
 ปัจจุบัน  จามจุรียักษ์ต้นนี้เป็นความภาคภูมิใจของคนเชียงใหม่  และกลายเป็นหมุดหมายของนักท่องเที่ยวผู้มาเยือนเชียงใหม่ 
"
กาญจนบุรี,33. จามจุรีอลังการ,100 ปี,15 เมตร,20 เมตร,"13.971866, 99.511210","ไม่ไกลจากตัวเมืองกาญจนบุรี ที่กองการสัตว์และเกษตรกรรมที่ ๑ อำเภอด่านมะขามเตี้ย มีต้นจามจุรียักษ์ อายุกว่า ๑๐๐ ปี ขนาดใหญ่ ๑๐ คนโอบ  สามารถวัดความสูงของต้นจากพื้นดินสู่ยอดได้ประมาณ ๒๐ เมตร มีขนาดเส้นรอบวงประมาณ ๑๕ เมตร ความสูงประมาณ ๒๐ เมตรรัศมีทรงพุ่มของต้นประมาณ ๒๕.๘๗ เมตร มีเส้นผ่าศูนย์กลางของร่มเงายาวประมาณ ๕๑.๗๕ เมตร แผ่กิ่งก้านสาขาร่มรื่นอลังการเป็นรูปร่มปกคลุมบริเวณกว้างถึง ๑ ไร่ ๒ งาน ๔ วา  เป็นความภาคภูมิใจอย่างยิ่งของชาวกาญจนบุรี
 จามจุรีต้นนี้เติบโตอย่างเป็นธรรมชาติ  และอยู่ภายใต้การดูแลภายใต้เขตการดูแลของกองการสัตว์และเกษตรกรรม กรมการสัตว์ทหารบก
 ปัจจุบัน  เป็นสถานที่ท่องเที่ยวอีกแห่งหนึ่งของจังหวัดกาญจนบุรี
"
อุทัยธานี,34. ผึ้งยักษ์,300- 400 ปี,97 เมตร,70 เมตร,"15.084610, 99.519985","ต้นผึ้งหรือต้นเชียง หรือที่ชาวบ้านเรียกว่า “ต้นไม้ยักษ์”ยืนต้นตระหง่านอย่างน่าอัศจรรย์ ณ หมู่บ้านสะนำ จังหวัดอุทัยธานี มีความสูง ๗๐ เมตร วัดเส้นรอบวงแนบตามพูพอนหรือรากมหัศจรรย์ที่ยื่นออกมาได้ ๙๗  เมตร ขนาด ๔๐ คนโอบ ถือเป็นต้นไม้ที่มีพูพอนใหญ่ที่สุดในประเทศไทย มีอายุราว ๓๐๐ - ๔๐๐ ปี เป็นสิ่งมหัศจรรย์ทางธรรมชาติที่ยังคงอยู่ให้ลูกหลานได้เห็นคุณค่า
  ในอดีตมีต้นผึ้งหรือต้นเชียงอยู่ในพื้นที่อุทัยธานีเป็นจำนวนมาก แต่ถูกตัดไปหมด เหลือเพียงต้นผึ้งยักษ์ต้นนี้เท่านั้น  ซึ่งอยู่ใกล้ศาลเจ้าบ้าน อันเป็นศูนย์รวมจิตใจของคนไทยเชื้อสายลาวทุกหมู่บ้านที่อยู่ในพื้นที่ พร้อมแวดล้อมไปด้วยต้นหมากมากมายมหาศาล หรือที่เรียกว่า ป่าหมากล้านต้น อีกด้วย
  ทุก ๆ ปี ในวันแรม ๑ ค่ำ เดือน ๖ จะมีพิธีเลี้ยงเจ้าบ้าน และประเพณีปิดบ้าน ซึ่งสืบสานกันมาเนิ่นนานครั้งแต่อพยพมาจากกรุงเวียงจันทน์ เป็นพิธีแสดงความกตัญญูและความเคารพต่อวิญญาณบรรพบุรุษ ที่ปกปักรักษา คุ้มครองและให้อยู่ดีกินดี ต้นผึ้งยักษ์นี้เป็นส่วนหนึ่งของพิธีกรรมนั้นด้วย
"
เลย,35. เซียงใหญ่,150-  200 ปี,22 เมตร,ไม่ระบุ,"17.519282, 101.776325","บริเวณใกล้แม่น้ำเลย ตำบลชัยพฤกษ์ อำเภอเมืองเลย จะมีต้นเซียงใหญ่  อันเป็นต้นไม้ที่ใหญ่ที่สุดของเมืองเลย  เซียงต้นนี้มีลำต้นสมบูรณ์ พูพอนแผ่ปีกกว้างค้ำต้นตรง สูงตระหง่านแข็งแรง แผ่กิ่งก้านสาขา แตกใบเขียวชอุ่ม นอกจากจะให้ความร่มรื่นแก่ผู้มาเยือนแล้ว ผึ้งหลวงยังได้มาอาศัยทำรังจำนวนมากอยู่ตามกิ่งก้านบนยอดสูง มีเส้นรอบวงประมาณ ๒๒ เมตร อายุอยู่ระหว่าง ๑๕๐ - ๒๐๐ ปี ในบริเวณใกล้เคียงยังพบไม้ขนาดใหญ่ที่อยู่ในสภาพสมบูรณ์ขนาดเส้นรอบวงไม่น้อยกว่า ๑๐ เมตร เรียงรายไปร่วม ๑๐ ต้น ทำให้บริเวณโดยรอบมีสภาพป่าที่สมบูรณ์ร่มรื่นเหมาะแก่การพัฒนาเป็นแหล่งท่องเที่ยวของชุมชน
 ต้นเซียงใหญ่นี้  เติบโตอยู่ในกลุ่มเดียวกับต้นไม้ใหญ่ ๆของจังหวัดเลย  
 ปัจจุบัน ชาวบ้านได้ร่วมกันอนุรักษ์ต้นไม้ต้นนี้ไว้  และถือเป็นสถานที่ท่องเที่ยวแห่งใหม่ให้คนรุ่นหลังได้ศึกษาและชื่นชมธรรมชาติ
"
เชียงใหม่,36. มะจำโรงสันป่าตอง,300 ปี,31.4 เมตร,90 เมตร,"18.623655, 98.890304","ริมทางหลวงหมายเลข ๑๐๘ ใกล้กับสี่แยกไฟแดงตลาดมะจำโรง อำเภอสันป่าตอง จังหวัดเชียงใหม่  มีต้นจำมะโรงต้นหนึ่งยืนต้นสูงใหญ่ โดดเด่นคู่อำเภอสันป่าตองมานานกว่า ๓๐๐ ปี วัดเส้นรอบวงได้ ๓๑.๔ เมตร ความสูงมากกว่า ๙๐ เมตร ชุมชนจึงยกให้เป็นสัญลักษณ์ที่ใหญ่และเก่าแก่ที่สุดของอำเภอ  
จากตำนานท้องถิ่นผู้เฒ่าผู้แก่เล่าว่า น่าจะปลูกไว้ตั้งแต่ยุคสร้างเมืองเชียงใหม่ นอกจากให้ร่มเงาแล้ว ชาวบ้านยังเชื่อว่าเป็นต้นไม้ที่ศักดิ์สิทธิ์โดยจะเห็นได้จากความศรัทธาที่มีการตั้งศาลบูชาไว้โดยรอบ 
ปัจจุบันอยู่ในความดูแลของ คุณจิราวรรณ์ สุต๋า เจ้าของที่ดิน ซึ่งครอบครองสืบทอดต่อมาจากบรรพบุรุษ ผู้ยืนยันว่าจะมุ่งมั่นดูแลและอนุรักษ์ต้นจำมะโรงต้นนี้ด้วยความภาคภูมิใจต่อไป 
"
อุบลราชธานี,37. ส้มโฮงดุมใหญ่,300 ปี,7 เมตร,40 เมตร,"15.646572, 104.740657","ต้นส้มโฮง หรือสำโรง ลำต้นสูงชะลูด กิ่งก้านแตกแขนงออกเป็นระยะ ทรงพุ่มเป็นชั้น ดูคล้ายฉัตรยืนตระหง่านงามอยู่ในวัดดุมใหญ่ จังหวัดอุบลราชธานี  มีขนาดเส้นรอบวงได้ ๗ เมตร ความสูง ๔๐ เมตร ให้ความร่มรื่นแก่สภาพแวดล้อม  และเป็นความภาคภูมิใจของชาวอุบลราชธานี
 ข้อมูลจากวัด กล่าวว่า ส้มโฮงต้นนี้ ยืนต้นมาแต่โบราณกาล  มีอายุกว่า ๓๐๐ ปี  เป็นต้นไม้ยึดเหนี่ยวจิตใจของผู้คนที่มาวัดปฏิบัติธรรม
ปัจจุบัน   อยู่ในความดูแลของวัดดุมใหญ่  จังหวัดอุบลราชธานี

"
สุโขทัย,38. มะม่วงวัด   ศรีชุม,200 ปี,6 เมตร,20 เมตร,"17.026823, 99.693089"," ใกล้ๆกับมณฑปวัดศรีชุม ซึ่งเป็นที่ประดิษฐาน ""พระอจนะ"" ภายในเขตอุทยานประวัติศาสตร์สุโขทัย ตำบลเมืองเก่า  จังหวัดสุโขทัย มีมะม่วงโบราณต้นยักษ์อายุกว่า ๒๐๐ ปียืนต้นอยู่  รูปทรงสวยงามสมดุล  โดดเด่น วัดเส้นรอบวงประมาณ ๖ เมตร สูงประมาณ ๒๐ เมตร ให้ความร่มเย็น ชื่นตาชื่นใจแก่ผู้พบเห็น   
ตามประวัติ  สันนิษฐานว่า วัดศรีชุมสร้างในสมัยพ่อขุนรามคำแหง ก่อนจะถูกทิ้งร้างลงในสมัยอยุธยาตอนปลาย ปัจจุบันหลงเหลืออาคารสำคัญอยู่เพียงหนึ่งเดียวคือ อาคารพระมณฑป 
และในบริเวณใกล้ ๆกันนั้นยังคงมีต้นมะม่วงต้นยักษ์ต้นนี้อยู่ 
ปัจจุบัน  มะม่วงต้นนี้นับเป็นองค์ประกอบสำคัญที่ช่วยเสริมให้โบราณสถานดูยิ่งใหญ่ เก่าแก่ และมีความศักดิ์สิทธิ์  เป็นที่สนใจของนักท่องเที่ยว
"
บุรีรัมย์,39. มะม่วงปราสาทเมืองต่ำ,100 ปี,6.3 เมตร,20 เมตร,"14.496369, 102.982512","ต้นมะม่วงขนาดใหญ่ อายุกว่า ๑๐๐ ปี ยืนต้นโดดเด่น แตกพุ่มสวยงามอยู่เพียงลำพัง ณ ริมสระน้ำระเบียงคด ในบริเวณปราสาทเมืองต่ำ จังหวัดบุรีรัมย์ เป็นทัศนียภาพคุ้นชินตามาเนิ่นนาน จนได้รับการเรียกขานกันว่า “ต้นมะม่วงประจำปราสาทเมืองต่ำ”
 ข้อมูลจาก อุทยานประวัติศาสตร์ ฯ กล่าวว่า มะม่วงต้นนี้ วัดเส้นรอบวงประมาณ ๖.๓ เมตร 
สูงประมาณ ๒๐ เมตร ผู้สูงอายุในชุมชนเล่าว่า เมื่อจำความได้ มะม่วงต้นนี้ก็มีขนาดเท่าปัจจุบันแล้ว จึงคาดว่ามีอายุไม่ต่ำกว่า ๑๐๐ ปี ลักษณะเป็นมะม่วงป่า ผลมีขนาดเล็ก ส่วนต้นไม้อื่นในบริเวณนี้ที่มีอายุไล่เลี่ยกันได้โค่นไปตามธรรมชาติหมดแล้ว 
ปัจจุบัน ต้นมะม่วงต้นนี้อยู่ในการดูแลของอุทยานประวัติศาสตร์  และเป็นจุดหนึ่งที่นักท่องเที่ยวให้ความสนใจ 
"
เชียงราย,40. ชาอัสสัมพันปี,"1,000 ปี",2.05 เมตร,20 เมตร,"19.825762, 99.571392","ชาวเขาเก็บชาต้นสูงแค่เอวมักเป็นภาพที่เห็นชินตา แต่ชาอัสสัมที่วนอุทยานชาพันปี บริเวณสันเขาดอยช้าง-ดอยวาวี บ้านใหม่พัฒนา จังหวัดเชียงราย เป็นต้นชาอายุกว่า ๑,๐๐๐ ปี  เส้นรอบวง ๒.๐๕ เมตร สูงประมาณ ๒๐ เมตร มีขนาด ๒-๓ คนโอบ เป็นชาต้นใหญ่ที่สุดในประเทศไทย 
  ข้อมูลจากวนอุทยาน ระบุว่า ต้นชาพันปีถูกค้นพบเมื่อเดือนพฤศจิกายน ๒๕๔๘ เป็นต้นชาพันธุ์อัสสัม หรือที่ชาวท้องถิ่นภาคเหนือเรียกว่า ต้นเมี่ยง มีลำต้นสูง แข็งแรง เป็นที่พักพิงของพันธ์ไม้ต่างๆ เช่น กล้วยไม้และมอสหลายชนิด บ่งบอกถึงการหยัดยืนมาอย่างยาวนาน และมีขนาดใหญ่กว่าต้นชาพันปีที่เมืองซือเหมา ประเทศสาธารณรัฐประชาชนจีนเสียอีก 
ปัจจุบัน ชาอัสสัมพันปี อยู่ในความดูแลของวนอุทยานชาพันปี ซึ่งเป็นแหล่งท่องเที่ยวเชิงอนุรักษ์ โดยเฉพาะในช่วงฤดูแล้งและเทศกาลชิมชา-กาแฟ
"
ตาก,41. กระบากใหญ่,700 ปี,16.10 เมตร,50 เมตร,"16.785574, 98.893900","ต้นกระบากใหญ่ที่สุดในประเทศไทยอยู่ที่อุทยานแห่งชาติตากสินมหาราช จังหวัดตาก  วัดเส้นรอบวง  ๑๖.๑๐ เมตร สูง ๕๐ เมตร ขนาด ๑๒ คนโอบ อยู่ในบริเวณหุบเขาของป่าดงดิบ 
ต้นกระบากต้นนี้แฝงตัวอยู่กลางป่ามายาวนานกว่า ๗๐๐ ปี ก่อนจะถูกค้นพบโดยชาวเขาเผ่ามูเซอเมื่อปี ๒๕๑๙ เป็นส่วนหนึ่งที่แสดงถึงลักษณะทางธรรมชาติซึ่งมีความโดดเด่นสมบูรณ์ควรค่าแก่การอนุรักษ์ และนำไปสู่การกำหนดเป็นพื้นที่อุทยานแห่งชาติในเวลาต่อมาข้อมูลจากอุทยานฯ ระบุว่าต้นกระบากนี้ 
อยู่ในอุทยานแห่งชาติต้นกระบากใหญ่ ต่อมาเปลี่ยนชื่อเป็น“อุทยานแห่งชาติตากสินมหาราช” เพื่อเป็นการเทอดพระเกียรติแด่องค์สมเด็จพระเจ้าตากสินมหาราช
 ปัจจุบัน วนอุทยานแห่งชาติตากสินมหาราช  เป็นแหล่งท่องเที่ยวของจังหวัดตาก  และต้นกระบากใหญ่ต้นนี้เป็นหมุดหมายหนึ่งของนักท่องเที่ยว
"
น่าน,42. กลุ่มต้นชมพูภูคาแสนงาม,ไม่ระบุ,0.30 เมตร,25 เมตร,"19.171638, 100.916232"," ชมพูภูคา เป็นพรรณไม้แห่งความภาคภูมิใจของชาวจังหวัดน่าน เพราะเป็นพืชหายากใกล้สูญพันธุ์ อีกทั้งยังได้รับพระมหากรุณาธิคุณจากสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี พระราชทานให้ ชมพูภูคา เป็นดอกไม้สัญลักษณ์ในโครงการอนุรักษ์พันธุกรรมพืชอันเนื่องมาจากพระราชดำริฯสำหรับต้นที่มีขนาดใหญ่สุด วัดเส้นรอบวงได้ ๐.๓๐ เมตร  สูง ๒๕ เมตร
 ข้อมูลจากอุทยานฯ ระบุว่า ต้นชมพูภูคา โดยได้รับการตั้งชื่อต้นไม้ตามสีของดอก (สีชมพูอมขาว) และถิ่นที่พบ พบครั้งแรกในประเทศไทยเมื่อปี พ.ศ. ๒๕๓๒ ในพื้นที่อุทยานแห่งชาติดอยภูคาและไม่พบในพื้นที่ใดอีกเลย 
ปัจจุบันความงดงามของดอกชมพูภูคาที่บานสะพรั่งเต็มดอย เป็นเอกลักษณ์เฉพาะที่ทำให้อุทยานแห่งชาติดอยภูคามีสีสันชีวิตชีวา กลายเป็นสถานที่พิเศษสุดประทับใจดึงดูดให้นักท่องเที่ยวมาเยือน

"
ลำปาง,43. จำปีหลวงรัชนี,ไม่ระบุ,8.60 เมตร,50 เมตร,"17.756839, 99.226931","ลึกเข้าไปในพื้นที่ป่าท้ายหมู่บ้านแม่เตี๊ยะ จังหวัดลำปาง จะพบไม้จำปีหลวงหรือจำปีรัชนียืนต้นคู่กันกลางป่า โดยต้นที่ใหญ่ที่สุดมีเส้นรอบวง ๘.๖๐ เมตร สูง ๕๐ เมตร ถือเป็นต้นจำปีหลวงที่ใหญ่ที่สุดในประเทศไทย
 กรมป่าไม้ระบุว่า ต้นจำปีต้นนี้น่าจะมีอายุหลายชั่วอายุคนแล้ว และอยู่ในป่าค่อนข้างลึกจึงเพิ่งถูกค้นพบเมื่อไม่นานมานี้ 
ปัจจุบัน พื้นที่นี้อยู่ในเขตป่าสงวนแห่งชาติป่าแม่ปราบ ซึ่งกำลังเตรียมจะเสนอเป็นแหล่งศึกษาธรรมชาติ พร้อมหาวิธีอนุรักษ์และขยายพันธุ์ต่อไป
"
อุตรดิตถ์,44. มเหสักข์,"1,500 ปี",10.22 เมตร,38.50 เมตร,"17.597448, 100.549751","ต้นสักอายุกว่า ๑,๕๐๐ ปี ใหญ่ที่สุดในโลก ยืนต้นตระหง่านอยู่ในอุทยานแห่งชาติต้นสักใหญ่ จังหวัดอุตรดิตถ์ ต้นสักใหญ่มีเส้นรอบวง ๑๐.๒๒ เมตร สูง ๓๘.๕๐ เมตร และเมื่อวันที่ ๒๙ กันยายน ๒๕๕๒ สมเด็จพระเทพรัตนราชสุดา ฯ สยามบรมราชกุมารีได้พระราชทานชื่อต้นสักนี้ว่า “ต้นมเหสักข์”(ในพจนานุกรมหมายถึงเทวดาผู้ใหญ่ซึ่งหมายถึงต้นสักที่ใหญ่กว่าต้นใด)ถือเป็นความภาคภูมิใจอย่างหาที่สุดมิได้ของชาวอุตรดิตถ์
ข้อมูลจากอุทยาน ฯ ระบุว่าเนื่องจากสักต้นนี้เคยถูกพายุพัดยอดหัก และมีลำต้นไม่สมบูรณ์เป็นโพรงจึงไม่คุ้มค่าในการนำมาทำสินค้าทำให้รอดพ้นจากการถูกตัดในอดีต จึงเหลือเป็นอนุสรณ์ให้คนรุ่นหลังได้มีโอกาสชมและศึกษาจนถึงปัจจุบัน
ปัจจุบัน มเหสักข์ต้นนี้อยู่ท่ามกลางสิ่งแวดล้อมและระบบนิเวศน์อันอุดม และได้รับคัดเลือกเป็นต้นสายพันธุ์นำร่องมุ่งสู่โครงการ “รวมใจภักดิ์ ปลูกมเหสักข์ – สยามินทร์ ถวายพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช  เนื่องในวโรกาสที่ทรงมีพระชนมายุครบ ๘๔ พรรษา เมื่อปี ๒๕๕๔
"
อุตรดิตถ์,45. มะค่าโมงยักษ์,"1,500 ปี",12 เมตร,40 เมตร,"18.083080, 100.981028","มะค่าโมงยักษ์ต้นนี้  อายุกว่า ๑,๕๐๐ ปี ยืนต้นอยู่ในเขตพื้นที่ป่าสงวนแห่งชาติห้วยก้านเหลือง จังหวัดอุตรดิตถ์  มีขนาดที่จัดว่าใหญ่มาก คือ เส้นรอบวงประมาณ ๑๒ เมตร สูงประมาณ ๔๐ เมตร   และมีความสมบูรณ์ ๑๐๐% ยืนอวดโฉมความสูงใหญ่  กิ่งใบแผ่กว้างงดงาม และมีลำต้นที่เป็นปุ่มปมอันเป็นลักษณะพิเศษ  นับเป็นต้นมะค่าโมงขนาดใหญ่ที่สุดในภาคเหนือ
ตามปกติมะค่าโมง เป็นไม้เนื้อแข็งและมีลายไม้ที่สวยงามจึงเป็นที่ต้องการและมีราคาสูง ดังนั้น การที่ต้นนี้สามารถรอดพ้นจากการลักลอบตัดโค่นมาได้ นับเป็นเรื่องน่ายินดี
     ปัจจุบัน ชุมชนพร้อมใจกันบวชต้นมะค่าโมงเพื่อเป็นกุศโลบายมิให้คนตัดไม้ อีกทั้งยังร่วมกันดูแลรักษาพร้อมนำเมล็ดไปขยายพันธุ์ต่อไป
"
ประจวบคีรีขันธ์,46. กลุ่มต้นจันทน์หอมสูงค่า,ไม่ระบุ,ไม่ระบุ,30 เมตร,"12.051666, 99.623899","ณ อุทยานแห่งชาติกุยบุรี  จังหวัดประจวบคีรีขันธ์  มีไม้จันทน์หอมขึ้นอยู่จำนวนมาก 
มีลักษณะสมบูรณ์ ลำต้นสูงใหญ่กว่า ๓๐ เมตร แตกใบเขียวชอุ่ม 
 ต้นจันทน์หอมเป็นไม้ขนาดใหญ่ ที่มีค่าหายากและเมื่อยืนต้นตายตามธรรมชาติจะให้กลิ่นหอมจัดเป็นไม้มงคลชั้นสูงที่มักใช้ในการพระราชพิธีถวายพระเพลิงพระบรมศพพระมหากษัตริย์ พระศพพระบรมราชวงศ์ชั้นสูง โดยนำมาใช้ ๒ ส่วน คือ การทำพระโกศไม้จันทน์ และการใช้ทำเป็นเชื้อเพลิงหรือฟืน  โดยอุทยานฯจะทำการสำรวจไม้ที่ยืนต้นตายตามธรรมชาติและจัดทำพิกัดไว้เพื่อใช้ในงานพระราชพิธีสำคัญ 
 เมื่อปี ๒๕๕๘ ทางสำนักพระราชวังคัดเลือกและนำไปใช้ในพระราชพิธีพระราชทานเพลิงพระศพสมเด็จพระญาณสังวร สมเด็จพระสังฆราช สกลมหาสังฆปริณายก ในปี ๒๕๖๐ ได้ถูกคัดเลือกให้นำไปใช้ในงานพระราชพิธีพระบรมศพพระบาทสมเด็จพระเจ้าอยู่หัวภูมิพลอดุลยเดช
"
พระนครศรีอยุธยา,47. กลุ่มต้นพุทราโบราณ,100-130 ปี,1.50- 2.50 ปี,7-10 เมตร,"14.358784, 100.558128","กลุ่มต้นพุทราโบราณ ที่เรียงรายอยู่ในบริเวณพระราชวังโบราณ และสวนสมเด็จพระศรีนครินทราบรมราชชนนี  จังหวัดพระนครศรีอยุธยา มีจำนวนมากถึง ๘๒๑ ต้น มีอายุราว ๑๐๐ - ๑๓๐ ปี เส้นรอบวงแต่ละต้นประมาณ ๑.๕๐ – ๒.๕๐ เมตร สูง ๗ – ๑๐ เมตร ลำต้นสีเข้มแตกกิ่งก้านสาขา ตัดกับใบสีเขียวอ่อนเข้มดูงดงามแปลกตา เสริมสร้างภูมิท้ศน์ของโบราณสถานให้ดูมีมิติและอลังการน่าประทับใจยิ่ง
 ต้นพุทรามีมาแต่สมัยกรุงศรีอยุธยา ต่อมาในรัชสมัยพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ฯ ทรงให้ปลูกต้นพุทราเพิ่ม และในปัจจุบัน สมเด็จพระเทพรัตนราชสุดา ฯ สยามบรมราชกุมารี ทรงมีพระราชดำริ ให้อนุรักษ์พันธุ์และต้นพุทราทั้งหมดนี้  และให้ขยายพันธุ์เพิ่มเติม เพื่อให้คงอยู่คู่กับจังหวัดตลอดไป 
ปัจจุบัน ต้นพุทราโบราณเป็นส่วนหนึ่งของการเรียนรู้สถานที่ท่องเที่ยวเชิงประวัติศาสตร์ และผลพุทราสามารถสร้างรายได้ให้ประชาชนได้ด้วย
"
เพชรบุรี,48. กลุ่มต้นลั่นทมเขาวัง,155 ปี,ไม่ระบุ,ไม่ระบุ,"13.109172, 99.936585"," พิพิธภัณฑสถานแห่งชาติพระนครคีรี หรือที่ชาวบ้านเรียกกันว่า เขาวัง จังหวัดเพชรบุรี  มีต้นลั่นทม หรือลีลาวดี ยืนต้นพรั่งพร้อมล้อมอยู่ด้วยกันทั้งสิ้น ๑,๒๖๓ ต้น มีอายุกว่า ๑๕๕ ปี  เวลาดอกบาน บานพร้อมกันกลิ่นหอมอบอวล  ซ้ำลำต้นเก่าแก่ก็เป็นปุ่มปม  มีกิ่งก้านแตกแขนงงดงามวิจิตรตา  บางจังหวะเกิดแสงเงาคล้ายลวดลายจิตรกรรม  เป็นเสน่ห์ที่สร้างความประทับใจแก่ผู้มาเยือนมิรู้ลืม 
 จากประวัติความเป็นมา  ต้นลั่นทมหรือลีลาวดีที่พบเรียงรายบนพระนครคีรีนี้ เป็นดอกไม้ที่พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว โปรดเกล้าฯ ให้นำพันธุ์มาจากชวาหรืออินโดนีเซีย โดยให้ปลูกไว้ตั้งแต่สร้างพระนครคีรี 
ปัจจุบันเป็นแหล่งท่องเที่ยวพักผ่อนของประชาชนและนักท่องเที่ยวโดยเฉพาะในเดือนมีนาคม - เมษายน ที่เป็นช่วงดอกไม้บาน ชาวเพชรบุรีจึงถือเสมือนดอกลั่นทมเป็นดอกไม้ประจำจังหวัด 
"
